gl,account,code,count,source,conflicts
6533,6533 HARDWARE/TOOLS,rm,6,"Dylan - (Houston, TX) - The 910",
6534,6534 - Fire Alarm/Sprinkler Contract/Supply,cs,2,"Dylan - (Houston, TX) - Brookfield",
6534,6534 HVAC,rm,8,"Dylan - (Houston, TX) - The 910",
6534,6534 Property Management Fees,mf,2,"Greg  - (Arlington, TX) - Norwood Place Apartments",
6535,6535 Contract Management,cs,17,"Greg - (Lewisville, TX) - Mason on Main",
6535,6535 - Grounds Supplies,rm,4,"Dylan - (Houston, TX) - Brookfield",
6535,6535 Management Fee - Gam,mf,2,"Guillermo - (Bryan, TX) - West University Gardens",
6535,6535 PAINT/SHEETROCK,rm,2,"Guillermo - (Dallas, TX) - Eclipse of White Rock",
6535,6535 VENT/DUCT CLEANING,rm,2,"Dylan - (Houston, TX) - The 910",
65350,65350 - Security Services,cs,2,"Dylan - (Houston, TX) - Corridor at Westchase",
6536,6536 FLOORING/VINYL,rm,2,"Guillermo - (Dallas, TX) - Eclipse of White Rock",
6536,"6536 KEYS, LOCKS & DOOR L",rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6536,"6536 KEYS, LOCKS & DOOR LOCKS",rm,2,"Dylan - (Houston, TX) - The 910",
6537,6537 Delivery Fee,cs,8,"Greg - (Lewisville, TX) - Mason on Main",
6537,6537 - Grounds Landscape Maint.,cs,4,"Dylan - (Houston, TX) - Brookfield",
6537,6537 GROUNDS MAINTENANC,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6537,6537 GROUNDS MAINTENANCE,rm,2,"Dylan - (Houston, TX) - The 910",
